Boylam,Enlem,YANGIN_DURUMU,score_probability_mlp,rank_probability_mlp,score_topsis_pi,rank_topsis_pi,score_topsis_shap,rank_topsis_shap,score_topsis_equal,rank_topsis_equal,score_topsis_entropy,rank_topsis_entropy,score_topsis_critic,rank_topsis_critic,score_vikor_pi,rank_vikor_pi,score_vikor_shap,rank_vikor_shap,score_vikor_equal,rank_vikor_equal,score_vikor_entropy,rank_vikor_entropy,score_vikor_critic,rank_vikor_critic
5978450.0,1743950.0,0,7.015893640587079e-05,10124,0.5646634523780139,9184,0.5436838402660443,6389,0.67596699073624,1,0.2648543819153876,8578,0.5816100772516214,377,0.5399739189986704,9971,0.5633112793917778,8284,0.320515927895221,8597,0.1971470072023913,14825,0.49049625600410307,8648
6007750.0,1764450.0,0,0.002365017280810341,6387,0.5295228768766067,10878,0.5075540314684194,9505,0.6700489322435634,2,0.5198819835975319,276,0.6241501155939171,45,0.5046417054601269,11511,0.5100518353549065,11214,0.3006872261219258,9938,0.6364055109511171,1149,0.7368380675998308,1093
5994550.0,1749950.0,1,0.9999999999884619,193,0.8904696239118229,715,0.7407016887434235,116,0.6688543872717518,3,0.5060333385334524,379,0.6464812717310309,8,0.9646424577755482,527,0.9155877754568105,697,0.7836980708332193,94,0.7735933344372196,193,0.8450035481448098,156
5977450.0,1743350.0,0,0.9937419084890532,1355,0.7225836901330116,1942,0.6790681353328186,1170,0.668172479935477,4,0.21809317731952482,11909,0.5410869109084109,1797,0.7526263775343278,1762,0.7944781583950538,1588,0.39122700376122044,4882,0.18888033354748457,15226,0.29267726968418206,14287
5994150.0,1749750.0,1,0.9999999999966134,128,0.8911854453539445,667,0.7411325051195343,108,0.6670218240563669,5,0.4269250757605463,1404,0.6090365316024092,138,0.964203730815425,546,0.9091689972872129,878,0.8047820398401172,66,0.7022693914852944,538,0.7992721432219279,392
5994150.0,1749250.0,0,0.00017946211435010146,9130,0.3582417617982099,19305,0.48820583663224765,11328,0.6656900286047918,6,0.5069387915402772,375,0.6454268605181123,9,0.3575057570030684,18226,0.45886649935931656,14257,0.7075610261514916,197,0.7366932746660241,324,0.82827334152998,225
6032750.0,1711950.0,0,3.105456131052576e-06,12710,0.47526920579677306,13496,0.5539086769904851,5601,0.6656344785102412,7,0.4634609823551779,811,0.6158549743956084,87,0.49287796853782273,12035,0.5682463556902324,8032,0.5326737444706712,1039,0.6378850699480445,1119,0.5013392126442803,8308
5994250.0,1749650.0,1,0.9999999999935432,167,0.8910870087901032,672,0.7343302225679075,225,0.6641420621646008,8,0.35491176069612884,3447,0.5931489942565138,253,0.9640352303110351,561,0.9051125035991212,973,0.7696263678916438,105,0.5427649421346626,2714,0.786596430340856,498
5895850.0,1759750.0,0,2.6453517645786114e-13,20135,0.495097057877242,12546,0.46675381777667224,13315,0.6629407913623362,9,0.18145087081265202,14790,0.5464668874611192,1448,0.48564893829241573,12351,0.49546512162734735,12105,0.3775856278505487,5500,0.195987719885803,14874,0.4555247075121436,9737
5986250.0,1753750.0,1,0.9999999999635192,272,0.8996283473093143,129,0.7592224587431342,4,0.6624959679078045,10,0.5407149323843643,159,0.6548621985880019,4,0.9710098163767256,235,0.9567542112271953,63,0.8758695978375657,9,0.8633154386244222,35,0.9847918401600918,2
5986150.0,1753750.0,1,0.9999999999759888,247,0.9009463870492225,104,0.7590228068889497,5,0.6611887195969792,11,0.5268531814730174,227,0.6497395292292069,7,0.9758394903993332,109,0.9642814315893062,34,0.875416716967911,10,0.8487136438936707,47,0.986393070080254,1
5994950.0,1749950.0,0,0.0024113293039621,6365,0.5004330445837678,12270,0.556928319432843,5386,0.6608583423861545,12,0.4030482571342396,1887,0.6145910488644452,96,0.5076875580169726,11374,0.575108569537963,7729,0.7475504169867168,138,0.6032228744310273,1579,0.7979757815311714,405
6032450.0,1711350.0,0,5.583593512286668e-07,13817,0.6488495300117235,4916,0.6010067909281017,2802,0.6604024073075389,13,0.5204224013459615,275,0.6365742694147906,20,0.6613220370215144,4412,0.6660371720659732,3861,0.3402410989779515,7388,0.6919650780135826,610,0.515441789266985,7859
5986050.0,1753750.0,1,0.9999999999903693,182,0.9013611031676263,100,0.7552987257764068,13,0.6599822613002294,14,0.49621306536904436,474,0.6262994747910564,39,0.975213145049396,117,0.9585183508886818,53,0.8574063608431279,24,0.7292353321159464,370,0.9146205517786099,47
6034050.0,1711050.0,0,0.006614192768405587,5332,0.7347200485327818,1728,0.6994829675922324,936,0.6591391874331508,15,0.5969189669231744,26,0.659381555663423,2,0.7735578002310526,1605,0.8224969920881602,1365,0.5760337221001953,666,0.8857999950608562,21,0.5728000020865377,5699
5934450.0,1695950.0,0,9.676889558517764e-13,19712,0.4833452011057178,13128,0.4610492726504332,13805,0.6589934196761033,16,0.2036823542151155,13017,0.5247531803753341,3455,0.4703306258732468,13074,0.4908776764002759,12380,0.28946871289777965,10729,0.10933300346798536,17949,0.24381540681213898,16237
5889950.0,1769050.0,0,0.18148933448007448,2407,0.38845844496780796,17815,0.4608211359267135,13821,0.6574742134458992,17,0.2074326982888001,12704,0.5671562401775488,635,0.3614247015961858,18059,0.4320708785659537,15825,0.38247445029804106,5285,0.23503186160523748,12945,0.615040696447996,4001
5977550.0,1743450.0,0,0.00011169032395839681,9614,0.3101843688982349,21174,0.40858921567078965,18049,0.6574351030393929,18,0.20978652882738758,12512,0.5136131663252324,5113,0.2723136842801577,21189,0.33537937189196865,20171,0.3100755600475973,9270,0.13951812437928401,17059,0.2432422001220692,16268
5995550.0,1748050.0,0,0.09914689936841001,2772,0.6400099071641657,5333,0.6300289396935004,1895,0.6573028385495642,19,0.31117073969964665,5525,0.5930392554140352,254,0.6702661326615102,4010,0.7170459216690885,2417,0.6482961785583505,332,0.5214247001094967,3192,0.7685858359655351,688
5993650.0,1748950.0,1,0.9999999997282192,387,0.8902717461180938,729,0.7325583498056875,259,0.6565760197006281,20,0.5799584359652317,47,0.6411128298945389,12,0.9646915508216415,523,0.9158756672030102,693,0.7315559248111523,167,0.7595965279954449,235,0.8491887638856375,142
5988950.0,1756250.0,1,0.9999999999999263,14,0.8926371204043374,591,0.7562913676992361,9,0.6561223937031734,21,0.6249490156787638,13,0.6562350272555404,3,0.9700204469056519,273,0.940850978991672,164,0.9632295233379009,4,0.9391424226008136,3,0.9626846717518,8
5989650.0,1757250.0,1,0.9999999941673599,602,0.8930100852363229,575,0.7539919959392717,16,0.6559985804846836,22,0.4294269144933046,1354,0.5951792377689776,241,0.9641357167409639,551,0.9640871881872559,35,0.6505226787128268,323,0.49088518812531035,4058,0.7591693150232158,789
6007150.0,1736650.0,0,1.4401014010510338e-10,17935,0.45279230913190704,14629,0.44277251931881606,15436,0.6554376246356193,23,0.4360009551121461,1235,0.5770092276877512,441,0.4231891203482434,15213,0.4641194964037225,13930,0.5053162287503163,1459,0.5821590826436283,1908,0.5316644733903023,7298
