Boylam,Enlem,YANGIN_DURUMU,score_probability_mlp,rank_probability_mlp,score_topsis_pi,rank_topsis_pi,score_topsis_shap,rank_topsis_shap,score_topsis_equal,rank_topsis_equal,score_topsis_entropy,rank_topsis_entropy,score_topsis_critic,rank_topsis_critic,score_vikor_pi,rank_vikor_pi,score_vikor_shap,rank_vikor_shap,score_vikor_equal,rank_vikor_equal,score_vikor_entropy,rank_vikor_entropy,score_vikor_critic,rank_vikor_critic
5988250.0,1754550.0,1,0.9999999999940814,161,0.8921849767355439,609,0.7341665322368569,229,0.6137691802800721,866,0.6553958139972502,2,0.6186064678381666,71,0.9644388484079199,539,0.9362636782085235,207,0.6909629073469015,224,0.979804376423907,1,0.9322577927796318,33
5987750.0,1752550.0,1,0.9999999975187439,549,0.8927349864270728,586,0.7436897162843403,75,0.6357481491213931,182,0.6680921630261939,1,0.6372717053376084,19,0.9620581285694179,654,0.927922499142862,358,0.7856856958192655,89,0.9687617185691988,2,0.839955594871222,171
5988950.0,1756250.0,1,0.9999999999999263,14,0.8926371204043374,591,0.7562913676992361,9,0.6561223937031734,21,0.6249490156787638,13,0.6562350272555404,3,0.9700204469056519,273,0.940850978991672,164,0.9632295233379009,4,0.9391424226008136,3,0.9626846717518,8
5988150.0,1752050.0,1,0.9999999999433051,291,0.8976133236132201,269,0.7436028544011969,76,0.6208583541487559,590,0.633140708365553,8,0.6292916730302015,36,0.9753341131134207,115,0.9342475527625643,238,0.7481306106370982,137,0.9296852690446162,4,0.8493546023206695,141
5988050.0,1752050.0,1,0.9999999994923776,433,0.891857541387894,628,0.7382904718351797,156,0.6187750628698477,662,0.6340862295732583,7,0.6220707247671119,56,0.9611903682403281,703,0.9251044681217488,428,0.7852017133131738,90,0.9289504707984991,5,0.836427715464485,190
5988250.0,1752050.0,1,0.9999999999378513,295,0.8977559380294233,258,0.7438345979696419,74,0.6167377404002111,732,0.634575051559164,6,0.6209587225233203,60,0.975129719075849,119,0.9329085544614482,262,0.784216243575551,92,0.9230936538176123,6,0.8345042811270345,199
5987750.0,1755550.0,0,0.07315087596698563,3020,0.6738910635225174,3626,0.6502537215931641,1510,0.6504209054656646,39,0.6028822299876586,21,0.6535410936693797,6,0.6891753795468467,3246,0.7530001531494146,1868,0.8233627074685999,51,0.9204364487949155,7,0.9452858272656645,22
5988050.0,1754250.0,1,0.9999999999995841,46,0.8918195105158462,630,0.7397970568432217,127,0.6273490104274032,397,0.5944696670118166,32,0.6334790017953836,25,0.9645003790887235,534,0.9389595391721098,178,0.860934541077986,19,0.9182513765383922,8,0.9777873078016167,3
5988050.0,1752650.0,1,0.999999998965956,490,0.8914120625699862,655,0.729046616289276,320,0.589762568289007,3446,0.6261239289466066,12,0.5902673861621534,281,0.9602438115017765,756,0.9187548215785034,607,0.5784430601002629,645,0.9173878368677535,9,0.8165937466621321,285
5989950.0,1754850.0,0,7.48761764192696e-12,19025,0.40826517729366557,16857,0.4439833623727172,15332,0.6341049738411518,217,0.6369590552435174,4,0.6254056827413631,42,0.40810638881460204,15895,0.4896366256564457,12449,0.6083057562943481,486,0.9171336318763238,10,0.6393046848707677,3214
