Boylam,Enlem,YANGIN_DURUMU,score_probability_mlp,rank_probability_mlp,score_topsis_pi,rank_topsis_pi,score_topsis_shap,rank_topsis_shap,score_topsis_equal,rank_topsis_equal,score_topsis_entropy,rank_topsis_entropy,score_topsis_critic,rank_topsis_critic,score_vikor_pi,rank_vikor_pi,score_vikor_shap,rank_vikor_shap,score_vikor_equal,rank_vikor_equal,score_vikor_entropy,rank_vikor_entropy,score_vikor_critic,rank_vikor_critic
5987750.0,1752550.0,1,0.9999999975187439,549,0.8927349864270728,586,0.7436897162843403,75,0.6357481491213931,182,0.6680921630261939,1,0.6372717053376084,19,0.9620581285694179,654,0.927922499142862,358,0.7856856958192655,89,0.9687617185691988,2,0.839955594871222,171
5988250.0,1754550.0,1,0.9999999999940814,161,0.8921849767355439,609,0.7341665322368569,229,0.6137691802800721,866,0.6553958139972502,2,0.6186064678381666,71,0.9644388484079199,539,0.9362636782085235,207,0.6909629073469015,224,0.979804376423907,1,0.9322577927796318,33
5988950.0,1754150.0,1,0.9999999997599829,378,0.8917373343260611,637,0.7374677863084043,175,0.6333862314439898,235,0.6520238248130978,3,0.6436901205265088,10,0.9606641213550902,727,0.9237582910367155,470,0.8310750650808969,41,0.8814184997260847,24,0.8521972653462973,135
5989950.0,1754850.0,0,7.48761764192696e-12,19025,0.40826517729366557,16857,0.4439833623727172,15332,0.6341049738411518,217,0.6369590552435174,4,0.6254056827413631,42,0.40810638881460204,15895,0.4896366256564457,12449,0.6083057562943481,486,0.9171336318763238,10,0.6393046848707677,3214
6003250.0,1760450.0,0,4.953159564144466e-08,15166,0.5341738449438881,10656,0.511375179533663,9155,0.5974245449169768,2212,0.6346126230028507,5,0.5845370973317039,345,0.5104170846246893,11246,0.5636014115410972,8266,0.5387693689970408,962,0.8640428475798203,34,0.7409700795806096,1031
5988250.0,1752050.0,1,0.9999999999378513,295,0.8977559380294233,258,0.7438345979696419,74,0.6167377404002111,732,0.634575051559164,6,0.6209587225233203,60,0.975129719075849,119,0.9329085544614482,262,0.784216243575551,92,0.9230936538176123,6,0.8345042811270345,199
5988050.0,1752050.0,1,0.9999999994923776,433,0.891857541387894,628,0.7382904718351797,156,0.6187750628698477,662,0.6340862295732583,7,0.6220707247671119,56,0.9611903682403281,703,0.9251044681217488,428,0.7852017133131738,90,0.9289504707984991,5,0.836427715464485,190
5988150.0,1752050.0,1,0.9999999999433051,291,0.8976133236132201,269,0.7436028544011969,76,0.6208583541487559,590,0.633140708365553,8,0.6292916730302015,36,0.9753341131134207,115,0.9342475527625643,238,0.7481306106370982,137,0.9296852690446162,4,0.8493546023206695,141
5988150.0,1751950.0,0,7.977792184468538e-10,17159,0.46685096711729923,13906,0.48118250012949504,11995,0.6142972775064445,845,0.6295549402050005,9,0.6039084008250584,182,0.43492250871448146,14694,0.49237050374185576,12296,0.5152951221478962,1284,0.8895479218887407,16,0.6824432368767479,2095
5987950.0,1754150.0,0,0.00025711650438571635,8732,0.6649314792187382,4069,0.5589892540984761,5230,0.5988691379936555,2026,0.6287838816434717,10,0.601695615460309,195,0.646995839183985,5054,0.645022186294398,4639,0.3408771069452654,7352,0.8803493100861289,26,0.798774309677698,396
