Boylam,Enlem,YANGIN_DURUMU,score_probability_mlp,rank_probability_mlp,score_topsis_pi,rank_topsis_pi,score_topsis_shap,rank_topsis_shap,score_topsis_equal,rank_topsis_equal,score_topsis_entropy,rank_topsis_entropy,score_topsis_critic,rank_topsis_critic,score_vikor_pi,rank_vikor_pi,score_vikor_shap,rank_vikor_shap,score_vikor_equal,rank_vikor_equal,score_vikor_entropy,rank_vikor_entropy,score_vikor_critic,rank_vikor_critic
5989050.0,1756250.0,1,0.9999999999999243,15,0.8918720163421121,626,0.7586919997514757,6,0.6537361904473389,31,0.599073787846806,25,0.6608714796149334,1,0.9700088621418286,274,0.9444329578274435,138,0.8005909935231479,73,0.8803586380798133,25,0.9703973091483503,4
6034050.0,1711050.0,0,0.006614192768405587,5332,0.7347200485327818,1728,0.6994829675922324,936,0.6591391874331508,15,0.5969189669231744,26,0.659381555663423,2,0.7735578002310526,1605,0.8224969920881602,1365,0.5760337221001953,666,0.8857999950608562,21,0.5728000020865377,5699
5988950.0,1756250.0,1,0.9999999999999263,14,0.8926371204043374,591,0.7562913676992361,9,0.6561223937031734,21,0.6249490156787638,13,0.6562350272555404,3,0.9700204469056519,273,0.940850978991672,164,0.9632295233379009,4,0.9391424226008136,3,0.9626846717518,8
5986250.0,1753750.0,1,0.9999999999635192,272,0.8996283473093143,129,0.7592224587431342,4,0.6624959679078045,10,0.5407149323843643,159,0.6548621985880019,4,0.9710098163767256,235,0.9567542112271953,63,0.8758695978375657,9,0.8633154386244222,35,0.9847918401600918,2
5989850.0,1756450.0,1,0.9999999999996352,43,0.8920928085884342,614,0.752206289664048,25,0.6541676360844891,28,0.6073687962367293,18,0.6542912631824466,5,0.9694967039747981,295,0.9385526888064788,182,0.8687911254431295,12,0.9073955251319628,11,0.9501171332772702,17
5987750.0,1755550.0,0,0.07315087596698563,3020,0.6738910635225174,3626,0.6502537215931641,1510,0.6504209054656646,39,0.6028822299876586,21,0.6535410936693797,6,0.6891753795468467,3246,0.7530001531494146,1868,0.8233627074685999,51,0.9204364487949155,7,0.9452858272656645,22
5986150.0,1753750.0,1,0.9999999999759888,247,0.9009463870492225,104,0.7590228068889497,5,0.6611887195969792,11,0.5268531814730174,227,0.6497395292292069,7,0.9758394903993332,109,0.9642814315893062,34,0.875416716967911,10,0.8487136438936707,47,0.986393070080254,1
5994550.0,1749950.0,1,0.9999999999884619,193,0.8904696239118229,715,0.7407016887434235,116,0.6688543872717518,3,0.5060333385334524,379,0.6464812717310309,8,0.9646424577755482,527,0.9155877754568105,697,0.7836980708332193,94,0.7735933344372196,193,0.8450035481448098,156
5994150.0,1749250.0,0,0.00017946211435010146,9130,0.3582417617982099,19305,0.48820583663224765,11328,0.6656900286047918,6,0.5069387915402772,375,0.6454268605181123,9,0.3575057570030684,18226,0.45886649935931656,14257,0.7075610261514916,197,0.7366932746660241,324,0.82827334152998,225
5988950.0,1754150.0,1,0.9999999997599829,378,0.8917373343260611,637,0.7374677863084043,175,0.6333862314439898,235,0.6520238248130978,3,0.6436901205265088,10,0.9606641213550902,727,0.9237582910367155,470,0.8310750650808969,41,0.8814184997260847,24,0.8521972653462973,135
5993750.0,1749250.0,0,1.9135722403488943e-05,11368,0.4427208580881448,15103,0.48652545320596985,11487,0.650112936961447,42,0.5792689853660244,48,0.6432392647519066,11,0.42084405328396346,15326,0.47724218543462704,13181,0.6291274218225457,402,0.7824286924863613,168,0.79463291722241,427
5993650.0,1748950.0,1,0.9999999997282192,387,0.8902717461180938,729,0.7325583498056875,259,0.6565760197006281,20,0.5799584359652317,47,0.6411128298945389,12,0.9646915508216415,523,0.9158756672030102,693,0.7315559248111523,167,0.7595965279954449,235,0.8491887638856375,142
5989650.0,1754350.0,0,0.07534908104407918,2987,0.6137462958928829,6677,0.6201386183547702,2139,0.6258348374874496,442,0.5662162818676526,74,0.6409668286346907,13,0.6384047656750965,5463,0.7004284166276491,2800,0.6898945374698564,225,0.8256983140440867,76,0.8270551000398719,233
5989850.0,1756350.0,1,0.9999999999997238,34,0.8919508778695554,620,0.7484533532545063,39,0.6462171060849936,66,0.5691257924326881,65,0.6406918530610347,14,0.969114742266275,319,0.9349141981000549,227,0.8621278351006644,16,0.8904672983900271,15,0.9468744111424192,20
5989450.0,1756550.0,1,0.9999999999995526,47,0.8914523831261113,651,0.7477971734298273,48,0.6434405853167244,84,0.5575346321046684,100,0.6397407196327837,15,0.9689602059659643,332,0.9354273493445914,222,0.8309640445544111,42,0.8604732330096113,38,0.9497433828839075,18
5988650.0,1754050.0,1,0.9999999999480447,284,0.8909825248752811,680,0.7405225417672975,118,0.62690251479305,413,0.5963725636745064,29,0.6396799153426224,16,0.96030641160807,750,0.9250562169325547,431,0.8259813301090423,48,0.8761722064513269,28,0.8455268217670331,153
5988250.0,1753950.0,1,0.9999999999453819,289,0.8908530678318699,690,0.7383272092321119,154,0.6256295259357106,452,0.5935271163418605,34,0.6388387011249826,17,0.9602714455416229,752,0.924637696900561,441,0.8289490868637355,44,0.8630822874629931,36,0.8513966435185029,138
5987250.0,1751450.0,1,0.999999999171181,476,0.8991073136321303,148,0.7500712508111383,33,0.6539842847594779,29,0.5804944586659117,44,0.6375303493803725,18,0.9664251357017231,436,0.9365620205506577,202,0.8588295766897762,21,0.8390154955591926,56,0.8262866299601805,238
5987750.0,1752550.0,1,0.9999999975187439,549,0.8927349864270728,586,0.7436897162843403,75,0.6357481491213931,182,0.6680921630261939,1,0.6372717053376084,19,0.9620581285694179,654,0.927922499142862,358,0.7856856958192655,89,0.9687617185691988,2,0.839955594871222,171
6032450.0,1711350.0,0,5.583593512286668e-07,13817,0.6488495300117235,4916,0.6010067909281017,2802,0.6604024073075389,13,0.5204224013459615,275,0.6365742694147906,20,0.6613220370215144,4412,0.6660371720659732,3861,0.3402410989779515,7388,0.6919650780135826,610,0.515441789266985,7859
5989050.0,1756150.0,1,0.9999999999999685,9,0.8920191142456805,616,0.7523191284468973,24,0.6424277950835484,94,0.555013269284893,108,0.6358189070904482,21,0.969183668016757,314,0.9361363888749672,210,0.8605541709377106,20,0.8696107392870654,30,0.9513711375910188,14
5986650.0,1750450.0,1,0.999999992905166,616,0.8966732416400172,342,0.7454046472960576,63,0.6345782103179782,201,0.5165669630838614,297,0.6339744831346058,22,0.9657292390428751,477,0.9377810073700287,188,0.5637518004717345,748,0.7474658671810926,285,0.8521145843577885,136
5985250.0,1751250.0,1,0.9999998648448173,873,0.8976866973257784,263,0.7435542017204798,77,0.6497724039973162,44,0.5387784591874404,166,0.6337774115857584,23,0.968428053385032,355,0.9374314703840655,194,0.4383982666475722,3101,0.7915604884043583,140,0.6276395346744933,3568
5988550.0,1756350.0,1,0.9999999999999478,12,0.8925943334987116,592,0.7535369527541135,19,0.6521946938340089,34,0.5518841753125467,119,0.6337269378316552,24,0.9691476409263512,316,0.9343590020374325,235,0.9611343574637266,5,0.8793341719765203,27,0.9389839836860587,28
5988050.0,1754250.0,1,0.9999999999995841,46,0.8918195105158462,630,0.7397970568432217,127,0.6273490104274032,397,0.5944696670118166,32,0.6334790017953836,25,0.9645003790887235,534,0.9389595391721098,178,0.860934541077986,19,0.9182513765383922,8,0.9777873078016167,3
5986850.0,1753350.0,1,0.9999999990558344,487,0.8987007030485872,182,0.7538296638226952,18,0.6410066646823467,110,0.5194025125856339,280,0.6333460166471513,26,0.9660985683439112,457,0.9362755564526417,206,0.7285767852978144,169,0.7970976479979096,126,0.8334706962671627,203
5986350.0,1750650.0,1,0.9999999909551524,628,0.8970946290378856,313,0.7419989573034033,97,0.6315049554570928,286,0.5560840937181786,104,0.6329906526577707,27,0.966435499864588,434,0.9392616125225269,175,0.6769792501639664,254,0.8022790696534879,116,0.8589813596837357,122
5987650.0,1755750.0,1,0.9999999999963634,132,0.8922729888329417,603,0.7478923977229581,47,0.649476329534374,47,0.5111978992340798,340,0.6320390028503047,28,0.964785578943849,519,0.9403399249767004,169,0.8613119504135163,18,0.7880258499671866,153,0.9511554675623863,15
5985750.0,1751350.0,1,0.9999999995746587,423,0.8984097166148323,203,0.7489199471576603,35,0.6494256790859771,48,0.5260823694787978,231,0.631507516008465,29,0.9713808827944685,223,0.9482795284561083,114,0.8530905441415841,27,0.8216403504158414,83,0.8388163481056354,177
5985150.0,1753450.0,1,0.9999999994291877,442,0.897949389032148,235,0.7457649319980927,60,0.628524802584993,364,0.5615020612906395,87,0.6313191031568439,30,0.9664624842233847,433,0.939978297631089,170,0.7567781959722255,128,0.829455542334562,68,0.8740930412959964,98
5988750.0,1756950.0,1,0.9999999999944329,154,0.8928863570044961,580,0.7521443017028367,26,0.6491277271144525,52,0.5639903807967326,79,0.6311611310443944,31,0.9703119651244057,258,0.937577309907473,191,0.8844854577293034,8,0.8485080321770416,48,0.9505750914391338,16
5990350.0,1749150.0,0,0.0021764035946334782,6477,0.634144483985818,5644,0.627949549290231,1944,0.6347200545839621,197,0.5710088656490645,59,0.6309510518122932,32,0.6487446888608794,4978,0.7050067108354549,2687,0.7849288154716599,91,0.7896352077301728,148,0.8118337592442555,320
5986850.0,1750850.0,1,0.9999999991296358,482,0.8987753900180927,173,0.7440379270109249,73,0.6313428865325308,290,0.5407988751055232,158,0.6300304629756932,33,0.9712858952199847,225,0.9458847038415573,130,0.7312515711459818,168,0.8102528187024339,99,0.8544663385281859,132
5905250.0,1742050.0,1,0.9999999997885491,362,0.8897411553938923,770,0.7383276511256446,153,0.65431061150143,27,0.5069135859103046,376,0.6298470269741197,34,0.9606481724924893,728,0.9560519865303942,66,0.7931817366981628,81,0.752670137113917,259,0.8950469505360332,60
5988250.0,1755750.0,0,0.0012643926195981235,7060,0.5784313423719146,8468,0.6053953541740315,2624,0.6188886893991322,657,0.5586195934005791,96,0.6293620939115321,35,0.5950024158295268,7430,0.6737127971506683,3595,0.6785210827564627,248,0.8239257258623149,79,0.9376713533226452,31
5988150.0,1752050.0,1,0.9999999999433051,291,0.8976133236132201,269,0.7436028544011969,76,0.6208583541487559,590,0.633140708365553,8,0.6292916730302015,36,0.9753341131134207,115,0.9342475527625643,238,0.7481306106370982,137,0.9296852690446162,4,0.8493546023206695,141
5988650.0,1756350.0,1,0.999999999999948,11,0.8928088662099816,582,0.7524892208659355,23,0.6497476067974175,45,0.5290827074835343,209,0.6272902795727026,37,0.9694088355219495,298,0.9339402022628928,246,0.9764751175788511,2,0.810739671457599,96,0.9380601439168402,30
5987150.0,1752250.0,1,0.9999999978033922,539,0.900389684688218,109,0.748603316420034,38,0.6510492771369174,35,0.5621855187466156,85,0.6270391134628875,38,0.9673731688098286,394,0.9343495870326851,236,0.8584522328397712,22,0.8123632103529086,93,0.8297833038989944,222
5986050.0,1753750.0,1,0.9999999999903693,182,0.9013611031676263,100,0.7552987257764068,13,0.6599822613002294,14,0.49621306536904436,474,0.6262994747910564,39,0.975213145049396,117,0.9585183508886818,53,0.8574063608431279,24,0.7292353321159464,370,0.9146205517786099,47
5987250.0,1751750.0,1,0.9999998633809555,874,0.8986227803492742,188,0.7288116102803839,327,0.6349324564776824,195,0.6060924741051916,20,0.6261157347211341,40,0.9696505751051935,288,0.9355506211880605,220,0.6000025336134049,525,0.8431215332164068,54,0.8202574198352355,270
5987250.0,1750850.0,0,0.0001954120806430401,9037,0.3945973600199718,17510,0.4973288575587298,10443,0.632942131044516,247,0.6167013241897493,15,0.626096208058793,41,0.38808324983528486,16819,0.47493831861254643,13312,0.664334447513335,285,0.8239470021411053,78,0.7981755137833121,402
5989950.0,1754850.0,0,7.48761764192696e-12,19025,0.40826517729366557,16857,0.4439833623727172,15332,0.6341049738411518,217,0.6369590552435174,4,0.6254056827413631,42,0.40810638881460204,15895,0.4896366256564457,12449,0.6083057562943481,486,0.9171336318763238,10,0.6393046848707677,3214
5993450.0,1749250.0,0,2.020841835531927e-05,11316,0.4009188413857369,17206,0.4779515497860117,12305,0.6314936897713869,287,0.5508739099080578,126,0.6248219459989099,43,0.4077907951414419,15904,0.4750683983696665,13306,0.6685567416057214,273,0.7479455339788561,279,0.8056712196904673,353
5988250.0,1754450.0,1,0.9999999999982265,98,0.892546397776822,595,0.7407488093319018,114,0.6392201394548482,128,0.5340817131531769,188,0.6243096073869863,44,0.964756861763797,520,0.936217184816087,209,0.8581837437136688,23,0.7903379555191257,142,0.9531566557777685,12
6007750.0,1764450.0,0,0.002365017280810341,6387,0.5295228768766067,10878,0.5075540314684194,9505,0.6700489322435634,2,0.5198819835975319,276,0.6241501155939171,45,0.5046417054601269,11511,0.5100518353549065,11214,0.3006872261219258,9938,0.6364055109511171,1149,0.7368380675998308,1093
5986850.0,1751050.0,1,0.9999999985757602,513,0.8973513442450373,293,0.7392159814752635,135,0.6208464107868337,591,0.5606084985630212,92,0.6239579684237854,46,0.9664886211969038,430,0.9373440741624426,196,0.7218442243522571,175,0.8188086906616345,84,0.8549292167439945,130
5985650.0,1751350.0,1,0.9999998505948658,885,0.8980651240376165,226,0.7462591831489882,57,0.6429236916599446,89,0.5043574380573634,393,0.6238171404935878,47,0.9687195287051927,342,0.9374056064139658,195,0.4334636613713534,3268,0.7938753029577138,133,0.6208830280460484,3780
5989550.0,1756550.0,1,0.9999999999997959,30,0.8908599666954516,688,0.7423453003934473,91,0.6223524327598993,547,0.5599819857418685,94,0.6236851788664288,48,0.968212806135375,367,0.9328440348168437,264,0.7563919863432877,129,0.8379262227140754,57,0.9420386452832402,24
5989950.0,1756150.0,1,0.9999999999990374,74,0.9225351860886706,2,0.7734877540472852,1,0.6488077369812689,54,0.4962874794231729,472,0.6235485580066344,49,1.0,1,0.995777296440813,1,0.9784981246617117,1,0.7317736784885088,355,0.9171325849697094,44
5987650.0,1755850.0,1,0.9999999999937139,165,0.8906005333715734,710,0.7463479273797445,56,0.6334819318931935,233,0.49258548868766283,510,0.6232554655763392,50,0.9636532912503752,591,0.9394710697054621,172,0.6433860067919863,348,0.7707467393349776,205,0.9567516436038872,9
5989350.0,1756950.0,0,4.239557697322937e-06,12496,0.47361549981402107,13583,0.48710268764039194,11436,0.6294561730926156,340,0.5032352595788977,406,0.6232011326098968,51,0.44862736151264704,14069,0.4870244857134144,12618,0.35169684935370116,6757,0.7917343058449868,138,0.8112600409112132,324
5993650.0,1749550.0,0,0.6996526577267371,1694,0.7167986483635944,2081,0.6569701128985903,1376,0.6448390882080108,73,0.45939823884456205,869,0.6228859754279403,52,0.7407536736689552,1925,0.7804208360433154,1641,0.6123807049938096,459,0.7321685401220345,351,0.8141604680810538,301
