method,n_features,n_train,n_val,n_test,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_f1,decision_threshold
deliberately_leaky,35,45390,51326,21758,1.0,1.0,1.0,1.0,1.0,0.12934322407560403
baseline_ann,19,45390,51326,21758,0.98285093633179,0.939425207133261,0.9829395340658262,0.9311129748026435,0.877709838799333,0.8407011235342974
coordinate_only,2,45390,51326,21758,0.84866371976353,0.355770380308089,0.7820937542492187,0.31516923444693046,0.3010678608336204,0.5845350566652137
label_permutation,19,45390,51326,21758,0.3743014050075245,0.06588861835479831,0.43654230918260617,0.07955150504196636,0.16666666666666666,0.015836221123131655
